concept_id,language,definition,definition_method,status,reviewer,review_date,evidence,rationale
AOM_000009,en,A taxonomic concept used in AOM to identify Buffalo within the Bovine classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000012,en,A taxonomic concept used in AOM to identify Taurine x Zebu Hybrid Cattle within the Cattle classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000018,en,A taxonomic concept used in AOM to identify Rabbit within the Rodent classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000021,en,A taxonomic concept used in AOM to identify Donkey within the Equine classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000026,en,A taxonomic concept used in AOM to identify Duck within the Poultry or Game Bird classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000027,en,A taxonomic concept used in AOM to identify Geese within the Poultry or Game Bird classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000036,en,A taxonomic concept used in AOM to identify Collector Urchin within the Urchins classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000042,en,A taxonomic concept used in AOM to identify Nile Tilapia within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000043,en,A taxonomic concept used in AOM to identify Redbreast Tilapia within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000044,en,A taxonomic concept used in AOM to identify Mozambique x Nile Hybrid Tilapia within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000045,en,A taxonomic concept used in AOM to identify Mozambique Tilapia within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000046,en,A taxonomic concept used in AOM to identify Shire Tilapia within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000047,en,A taxonomic concept used in AOM to identify Ningu within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000048,en,A taxonomic concept used in AOM to identify African Carp within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000049,en,A taxonomic concept used in AOM to identify Vundu Catfish within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000050,en,A taxonomic concept used in AOM to identify African Catfish within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000051,en,A taxonomic concept used in AOM to identify Dwarf African Mud Catfish within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
AOM_000052,en,A taxonomic concept used in AOM to identify African Sharptooth x African Catfish Hybrid within the Fish classification.,composed_from_governed_hierarchy_role,approved,Pete Steward,2026-08-06,data/livestock-staging/concepts.csv,Definition states only approved hierarchy context and model role; no domain fact is inferred.
