feed_material_id,target_property,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale
AOM_001326,aom:materialComponent,AOM_101086,Whole crop,approved,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,Canonical occurrences and public feed authorities identify maize silage as whole-crop material.
AOM_001326,aom:processingMethod,AOM_000831,Ensiling,approved,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,Ensiling is explicit in canonical source occurrences and defines resulting silage.
AOM_000656,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole rice retains grain fractions while grinding remains an independent process.
AOM_000660,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole wheat retains grain fractions while grinding remains an independent process.
AOM_001313,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Crop-product context distinguishes whole-grain maize from source maize and whole-crop silage.
AOM_001324,aom:materialIntegrity,AOM_101110,Whole grain,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole-grain integrity and grinding are independent assertions.
AOM_000555,aom:compositionState,AOM_101116,Whole-milk composition,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Whole milk denotes composition rather than physical wholeness.
AOM_000687,aom:feedProductType,AOM_101113,Hay,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Hay is a conserved forage product.
AOM_000687,aom:processingMethod,AOM_101071,Drying,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Haymaking conserves forage through drying.
AOM_000798,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.
AOM_000801,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.
AOM_002109,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.
AOM_001498,aom:feedProductType,AOM_101114,Compound feed,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named ration meal is compound feed and does not imply grinding.
AOM_003892,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_001836,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_000633,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of drying.
AOM_003885,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_006217,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of explicit processes.
AOM_006178,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of ensiling.
AOM_003546,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_003891,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_001483,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_006271,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of drying.
AOM_001778,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
AOM_001779,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product type remains independent of grinding.
AOM_002137,aom:feedProductType,AOM_101112,Processing pulp,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp is a processing-derived product type rather than physical form.
