case_id,subject_id,relation_type,object_id,reviewer,review_date,evidence,rationale
PARENT-036,AOM_100851,related,AOM_000648,Pete Steward,2026-08-03,review/livestock-v2/PRIORITY_RECOMMENDATIONS.md,Links maize-derived feed-material grouping to maize crop/product concept without asserting identity or hierarchy.
PARENT-078,AOM_100852,related,AOM_001582,Pete Steward,2026-08-03,review/livestock-v2/PRIORITY_RECOMMENDATIONS.md,Links soybean-derived feed-material grouping to soybean crop/product concept without asserting identity or hierarchy.
PARENT-032,AOM_100856,related,AOM_001202,Pete Steward,2026-08-03,review/livestock-v2/CEREAL_BYPRODUCT_RECOMMENDATIONS.md,Links barley-derived feed grouping to barley crop/product without asserting identity.
PARENT-037,AOM_100859,related,AOM_000654,Pete Steward,2026-08-03,review/livestock-v2/CEREAL_BYPRODUCT_RECOMMENDATIONS.md,Links millet-derived feed grouping to millet crop/product without asserting identity.
PARENT-038,AOM_100860,related,AOM_001895,Pete Steward,2026-08-03,review/livestock-v2/CEREAL_BYPRODUCT_RECOMMENDATIONS.md,Links oat-derived feed grouping to oat crop/product without asserting identity.
PARENT-042,AOM_100863,related,AOM_001316,Pete Steward,2026-08-03,review/livestock-v2/CEREAL_BYPRODUCT_RECOMMENDATIONS.md,Links sorghum-derived feed grouping to sorghum crop/product without asserting identity.
PARENT-044,AOM_100864,related,AOM_001319,Pete Steward,2026-08-03,review/livestock-v2/CEREAL_BYPRODUCT_RECOMMENDATIONS.md,Links wheat-derived feed grouping to wheat crop/product without asserting identity.
PARENT-068,AOM_100868,related,AOM_002228,Pete Steward,2026-08-03,review/livestock-v2/LEGUME_BYPRODUCT_RECOMMENDATIONS.md,Links fava-bean-derived feed grouping to fava bean product without asserting identity.
PARENT-070,AOM_100869,related,AOM_003072,Pete Steward,2026-08-03,review/livestock-v2/LEGUME_BYPRODUCT_RECOMMENDATIONS.md,Links groundnut-derived feed grouping to groundnut product without asserting identity.
PARENT-076,AOM_100873,related,AOM_002226,Pete Steward,2026-08-03,review/livestock-v2/LEGUME_BYPRODUCT_RECOMMENDATIONS.md,Links pea-derived feed grouping to pea product without asserting identity.
PARENT-077,AOM_100874,related,AOM_001314,Pete Steward,2026-08-03,review/livestock-v2/LEGUME_BYPRODUCT_RECOMMENDATIONS.md,Links pigeon-pea-derived feed grouping to pigeon pea product without asserting identity.
